State,District,Latitude,Longitude,Population,Male,Female,Literate,sex_ratio,literacy_rate
Bihar,Siwan,26.1736372013652,84.33766552901022,3330464,1675090,1655374,1930175,98.82,57.96
Bihar,Supaul,26.28157893772896,86.78496465201461,2229076,1155283,1073793,1033283,92.95,46.35
Bihar,Vaishali,25.8134703180212,85.39247597173153,3495021,1844535,1650486,1926740,89.48,55.13
Chandigarh,Chandigarh,30.7426,76.75872465753424,1055450,580663,474787,805438,81.77,76.31
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,1413199,698487,714712,650863,102.32,46.06
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,381956,192764,189192,287620,98.15,75.3
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,2663629,1351574,1312055,1596560,97.08,59.94
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,799781,397897,401884,546833,101.0,68.37
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,3343872,1682101,1661771,2303378,98.79,68.88
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,851669,424747,426922,495415,100.51,58.17
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,1206640,612915,593725,748759,96.87,62.05
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,658917,334737,324180,397823,96.85,60.38
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,1032754,511967,520787,637963,101.72,61.77
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,1493984,750278,743706,951639,99.12,63.7
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,2634200,1344345,1289855,1939994,95.95,73.65
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,4063872,2048186,2015686,2629749,98.41,64.71
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,2359886,1193129,1166757,1187941,97.79,50.34
Daman and Diu,Daman,20.431616666666677,72.8392366071429,191173,124659,66514,150348,53.36,78.64
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,2743082,1404356,1338726,1842818,95.33,67.18
Goa,North Goa,15.548723418714054,73.80667997909038,818008,416677,401331,663060,96.32,81.06
Goa,South Goa,15.195278658183785,73.941792596877,640537,322463,318074,502427,98.64,78.44
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,7214225,3788051,3426174,5435760,90.45,75.35
Gujarat,Amreli,21.04832649310872,71.43457637825426,1514190,771049,743141,995459,96.38,65.74
Gujarat,Anand,22.282718206229863,72.57782051557454,2092745,1087224,1005521,1551253,92.49,74.13
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,3120506,1610379,1510127,1704923,93.77,54.64
Gujarat,Bharuch,21.75787276237761,72.67326346710801,1551019,805707,745312,1118276,92.5,72.1
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,2880365,1490201,1390164,1887255,93.29,65.52
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,1391753,723864,667889,1030494,92.27,74.04
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,2160119,1114192,1045927,1396534,93.87,64.65
Gujarat,Junagadh,20.929523011609785,70.54733890140345,2743082,1404356,1338726,1842818,95.33,67.18
Gujarat,Kachchh,23.48057203301311,68.82192301497916,2092371,1096737,995634,1252319,90.78,59.85
Gujarat,Kheda,22.88765312500002,73.018803515625,2299885,1185727,1114158,1660243,93.96,72.19
Gujarat,Mahesana,23.529355452865065,72.45545194085031,2035064,1056520,978544,1502645,92.62,73.84
Gujarat,Narmada,21.70666386292833,73.68403208722742,590297,301086,289211,370336,96.06,62.74
Gujarat,Navsari,20.866973318871995,72.86184869848157,1329672,678165,651507,1001909,96.07,75.35
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,2390776,1226961,1163815,1440805,94.85,60.27
Gujarat,Patan,23.80634198473284,71.75162977099237,1343734,694397,649337,837913,93.51,62.36
Gujarat,Porbandar,21.55092351651571,69.71896987722886,585449,300209,285240,393678,95.01,67.24
Gujarat,Rajkot,22.40603377715488,70.83679439383323,3804558,1974445,1830113,2725056,92.69,71.63
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,2428589,1244231,1184358,1578734,95.19,65.01
Gujarat,Surat,21.25761372772093,72.93488716344339,6081322,3402224,2679098,4571410,78.75,75.17
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,1756268,909917,846351,1093626,93.01,62.27
Gujarat,The Dangs,20.801633877551023,73.6883518367347,228291,113821,114470,140968,100.57,61.75
Gujarat,Vadodara,22.26133739279589,73.49433010291594,4165626,2153736,2011890,2893080,93.41,69.45
Gujarat,Valsad,20.44238231644259,72.9148584798345,1705678,887222,818456,1170657,92.25,68.63
Haryana,Ambala,30.3503672316384,76.94970310734456,1128350,598703,529647,818025,88.47,72.5
Haryana,Bhiwani,28.728868064516128,76.02110225806452,1634445,866672,767773,1069871,88.59,65.46
Haryana,Faridabad,28.14873109756098,77.32718536585368,1809733,966110,843623,1272739,87.32,70.33
Haryana,Fatehabad,29.57298318584072,75.54608716814157,942011,495360,446651,557578,90.17,59.19
Haryana,Gurgaon,28.043894789579163,77.01935130260523,1514432,816690,697742,1111116,85.44,73.37
Haryana,Hisar,29.23628731117825,75.84324682779452,1743931,931562,812369,1114311,87.21,63.9
Haryana,Jhajjar,28.59651868131869,76.61137142857145,958405,514667,443738,676091,86.22,70.54
Haryana,Jind,29.45149821958457,76.29598575667653,1334152,713006,621146,832758,87.12,62.42
Haryana,Kaithal,29.96068539094649,76.37698930041155,1074304,571003,503301,646529,88.14,60.18
Haryana,Karnal,29.703200647249204,76.87488025889972,1505324,797712,707612,978013,88.71,64.97
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,964655,510976,453679,646893,88.79,67.06
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,922088,486665,435423,630255,89.47,68.35
Haryana,Panchkula,30.700897142857134,76.97173238095236,561293,299679,261614,405318,87.3,72.21
Haryana,Panipat,29.34352134146342,76.92895914634147,1205437,646857,558580,786599,86.35,65.25
Haryana,Rewari,28.19164714828897,76.55956007604564,900332,474335,425997,636947,89.81,70.75
Haryana,Rohtak,28.892517647058817,76.53123235294117,1061204,568479,492725,747582,86.67,70.45
Haryana,Sirsa,29.63583446327684,74.90970480225988,1295189,682582,612607,782897,89.75,60.45
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,381956,192764,189192,287620,98.15,75.3
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,2663629,1351574,1312055,1596560,97.08,59.94
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,519080,261320,257760,323842,98.64,62.39
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,217070,237698,358091,109.5,78.74
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,1104285,593537,510748,653299,86.05,59.16
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1510075,750591,759484,1152640,101.18,76.33
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,84121,46249,37872,60699,81.89,72.16
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,437903,225452,212451,307672,94.23,70.26
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,999777,498065,501712,723747,100.73,72.39
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,814010,425039,388971,612642,91.51,75.26
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,529855,276289,253566,362645,91.78,68.44
